CALLS,,,,,,,,,,,,,,,,,,,,,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,455,-650,23,0.0,2855.4,0,0,0,0,0,21600.0,0,0,0,0,0,0.05,71.36,79607,-666770,1716390,
,0,0,0,0.0,2396.15,0,0,0,0,0,21650.0,0,0,0,0,0,0.05,70.18,5350,39065,297050,
,0,0,0,0.0,2300.9,0,0,0,0,0,21700.0,0,0,0,0,0,0.05,69.0,25530,-80275,649025,
,0,0,0,0.0,2253.6,0,0,0,0,0,21750.0,0,0,0,0,0,0.05,67.82,2398,5525,79560,
,65,0,1,0.0,2810.0,0,0,0,0,0,21800.0,0,0,0,0,0,0.05,66.64,8063,-50180,262730,
,0,0,0,0.0,2159.6,0,0,0,0,0,21850.0,0,0,0,0,0,0.05,65.46,3259,36725,126035,
,650,0,6,0.0,2700.0,0,0,0,0,0,21900.0,0,0,0,0,0,0.05,64.29,4776,-57655,134420,
,0,0,0,0.0,2090.0,0,0,0,0,0,21950.0,0,0,0,0,0,0.05,63.12,3791,-17810,121615,
,6045,-2015,90,184.53,2753.5,0,0,0,0,0,22000.0,0,0,0,0,0,0.05,61.94,47664,-648050,866905,
,0,0,0,0.0,1974.35,0,0,0,0,0,22050.0,0,0,0,0,0,0.05,60.77,7022,15340,100035,
,65,0,0,0.0,1971.0,0,0,0,0,0,22100.0,0,0,0,0,0,0.05,59.6,15846,-151515,314860,
,0,0,0,0.0,1883.4,0,0,0,0,0,22150.0,0,0,0,0,0,0.05,58.44,3251,-9945,96590,
,0,0,0,0.0,1838.35,0,0,0,0,0,22200.0,0,0,0,0,0,0.05,57.27,16847,-365170,321685,
,65,0,0,0.0,2108.4,0,0,0,0,0,22250.0,0,0,0,0,0,0.1,58.96,7645,-52325,156910,
,0,0,0,0.0,1749.25,0,0,0,0,0,22300.0,0,0,0,0,0,0.05,54.94,10786,-64545,231855,
,0,0,0,0.0,1705.25,0,0,0,0,0,22350.0,0,0,0,0,0,0.05,53.78,4261,-41210,159055,
,65,0,0,0.0,1573.4,0,0,0,0,0,22400.0,0,0,0,0,0,0.05,52.61,16913,-170495,247975,
,65,0,0,0.0,1874.65,0,0,0,0,0,22450.0,0,0,0,0,0,0.1,54.1,6592,-14300,117585,
