CALLS,,,,,,,,,,,,,,,,,,,,,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,260,0,0,0.0,2820.0,0,0,0,0,0,21400.0,0,0,0,0,0,0.05,64.37,134344,-1661270,1063465,
,2080,0,2,0.0,2599.4,0,0,0,0,0,21450.0,0,0,0,0,0,0.05,63.17,8266,-48425,84955,
,2080,-260,18,91.9,2558.7,0,0,0,0,0,21500.0,0,0,0,0,0,0.05,61.97,121174,-1090245,673985,
,2015,0,7,104.95,2515.65,0,0,0,0,0,21550.0,0,0,0,0,0,0.05,60.77,7115,-21905,68770,
,975,0,0,187.88,2610.35,0,0,0,0,0,21600.0,0,0,0,0,0,0.05,59.57,14635,-96070,99450,
,2990,0,3,89.49,2409.65,0,0,0,0,0,21650.0,0,0,0,0,0,0.05,58.37,2298,8580,57135,
,3965,0,8,92.64,2361.8,0,0,0,0,0,21700.0,0,0,0,0,0,0.05,57.18,6428,-70070,51805,
,1950,0,9,77.56,2307.1,0,0,0,0,0,21750.0,0,0,0,0,0,0.05,55.98,2653,6175,45760,
,390,0,0,0.0,2139.8,0,0,0,0,0,21800.0,0,0,0,0,0,0.05,54.79,26814,-204750,212680,
,455,0,0,171.42,2354.25,0,0,0,0,0,21850.0,0,0,0,0,0,0.05,53.6,8283,19370,71955,
,1040,0,0,0.0,2112.05,0,0,0,0,0,21900.0,0,0,0,0,0,0.05,52.41,10874,-57070,105235,
,3250,0,0,157.35,2231.85,0,0,0,0,0,21950.0,0,0,0,0,0,0.05,51.22,5419,-14430,55965,
,1430,-1885,45,0.0,2022.9,0,0,0,0,0,22000.0,0,0,0,0,0,0.1,52.62,123198,-1293435,1453335,
,1625,0,3,73.77,2008.9,0,0,0,0,0,22050.0,0,0,0,0,0,0.05,48.84,7059,-70265,61685,
,2535,-845,25,0.0,1950.75,0,0,0,0,0,22100.0,0,0,0,0,0,0.05,47.66,19620,-125515,265915,
,1625,0,16,0.0,1902.1,0,0,0,0,0,22150.0,0,0,0,0,0,0.05,46.47,9476,2275,89310,
,1820,-65,8,84.92,1869.65,0,0,0,0,0,22200.0,0,0,0,0,0,0.05,45.29,50224,-549965,327600,
,520,0,10,0.0,1797.3,0,0,0,0,0,22250.0,0,0,0,0,0,0.05,44.1,12462,-16055,82550,
,975,0,1,0.0,1710.2,0,0,0,0,0,22300.0,0,0,0,0,0,0.05,42.92,29282,-179335,255515,
,2080,0,12,63.08,1708.7,0,0,0,0,0,22350.0,0,0,0,0,0,0.05,41.74,13836,-76765,98995,
,2080,0,4,0.0,1648.3,0,0,0,0,0,22400.0,0,0,0,0,0,0.05,40.55,32958,-193440,433355,
,1170,0,3,0.0,1597.2,0,0,0,0,0,22450.0,0,0,0,0,0,0.05,39.37,15869,-24505,113880,
,4290,-2145,66,48.21,1556.0,0,0,0,0,0,22500.0,0,0,0,0,0,0.05,38.19,351645,-2783170,2738450,
,2600,390,33,71.91,1520.65,0,0,0,0,0,22550.0,0,0,0,0,0,0.05,37.01,53702,-309270,308230,
,2405,0,14,0.0,1450.4,0,0,0,0,0,22600.0,0,0,0,0,0,0.1,37.77,113852,-631540,552175,
,2145,0,4,0.0,1397.85,0,0,0,0,0,22650.0,0,0,0,0,0,0.05,34.65,61384,-206115,358930,
,2470,130,9,0.0,1349.1,0,0,0,0,0,22700.0,0,0,0,0,0,0.05,33.47,113010,-514605,1596790,
,2925,0,31,0.0,1303.8,0,0,0,0,0,22750.0,0,0,0,0,0,0.05,32.29,48785,-324220,353860,
,3965,-130,21,0.0,1227.0,0,0,0,0,0,22800.0,0,0,0,0,0,0.05,31.11,221185,-1414205,1900015,
,4485,130,4,0.0,1184.25,0,0,0,0,0,22850.0,0,0,0,0,0,0.05,29.93,84981,18785,739700,
,1235,0,3,50.62,1163.0,0,0,0,0,0,22900.0,0,0,0,0,0,0.05,28.75,206832,-727805,1341795,
,4550,-1365,37,0.0,1103.25,0,0,0,0,0,22950.0,0,0,0,0,0,0.05,27.56,127731,-172575,866385,
,32760,-24960,1099,0.0,1051.45,0,0,0,0,0,23000.0,0,0,0,0,0,0.05,26.38,1511681,-6128460,8063250,
,5525,1820,41,0.0,969.05,0,0,0,0,0,23050.0,0,0,0,0,0,0.05,25.2,297078,-2080,1607060,
,7670,455,91,0.0,951.3,0,0,0,0,0,23100.0,0,0,0,0,0,0.05,24.01,625712,729625,3726125,
,6110,2860,82,0.0,877.9,0,0,0,0,0,23150.0,0,0,0,0,0,0.05,22.82,250088,554580,1931215,
,22425,-8190,1195,0.0,854.25,0,0,0,0,0,23200.0,0,0,0,0,0,0.05,21.64,834630,-1771120,4857840,
,14495,-3510,407,0.0,801.45,0,0,0,0,0,23250.0,0,0,0,0,0,0.05,20.45,373583,-452140,1756820,
,39195,-23595,1114,0.0,753.9,0,0,0,0,0,23300.0,0,0,0,0,0,0.05,19.25,960416,-2899390,4119115,
,14300,4095,249,0.0,701.65,0,0,0,0,0,23350.0,0,0,0,0,0,0.05,18.06,738611,1081080,3458845,
,29575,-7085,813,0.0,654.15,0,0,0,0,0,23400.0,0,0,0,0,0,0.05,16.86,1444435,-766350,5757505,
,22295,4680,621,0.0,601.6,0,0,0,0,0,23450.0,0,0,0,0,0,0.05,15.66,882669,78715,2596815,
,93470,-92430,6998,0.0,550.85,0,0,0,0,0,23500.0,0,0,0,0,0,0.05,14.45,2731572,-2689895,8489260,
,33345,1365,1193,0.0,503.1,0,0,0,0,0,23550.0,0,0,0,0,0,0.05,13.24,1563200,239785,3458650,
,62595,-16120,4755,0.0,451.5,0,0,0,0,0,23600.0,0,0,0,0,0,0.05,12.02,2833248,-2381795,6943690,
,51610,11765,4875,0.0,401.55,0,0,0,0,0,23650.0,0,0,0,0,0,0.05,10.8,1369801,-2030925,3680690,
,176605,-27495,20078,0.0,352.25,0,0,0,0,0,23700.0,0,0,0,0,0,0.05,9.56,3126538,-685685,9893910,
,81250,-3900,24917,0.0,301.5,0,0,0,0,0,23750.0,0,0,0,0,0,0.05,8.32,3007454,-1187875,5047900,
,287560,-165555,174038,0.0,251.35,0,0,0,0,0,23800.0,0,0,0,0,0,0.05,7.07,7109243,-549380,9566310,
,228670,-24895,200181,0.0,201.55,0,0,0,0,0,23850.0,0,0,0,0,0,0.05,5.79,7757262,1351545,6273735,
,1469325,703950,1281694,0.0,152.0,0,0,0,0,0,23900.0,0,0,0,0,0,0.05,4.5,13502375,1904695,10740860,
,1110135,749255,2142059,0.0,101.8,0,0,0,0,0,23950.0,0,0,0,0,0,0.05,3.17,17866904,2374385,8786440,
