CALLS,,,,,,,,,,,,,,,,,,,,,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2275,-2535,205,0.0,3079.85,0,0,0,0,0,21200.0,0,0,0,0,0,0.05,75.12,74784,-1539005,627445,
,65,0,0,0.0,2971.0,0,0,0,0,0,21250.0,0,0,0,0,0,0.05,73.91,9785,-6045,101205,
,585,0,0,0.0,3015.0,0,0,0,0,0,21300.0,0,0,0,0,0,0.05,72.71,25593,-626730,195000,
,0,0,0,0.0,2938.85,0,0,0,0,0,21350.0,0,0,0,0,0,0.05,71.51,9235,25025,61945,
,65,0,0,101.89,2940.75,0,0,0,0,0,21400.0,0,0,0,0,0,0.05,70.32,22197,-451620,144430,
,0,0,0,0.0,2848.15,0,0,0,0,0,21450.0,0,0,0,0,0,0.05,69.12,1866,-19565,22100,
,142350,-195,607,0.0,2835.0,0,0,0,0,0,21500.0,0,0,0,0,0,0.05,67.93,42763,-710450,465010,
,0,0,0,0.0,2758.3,0,0,0,0,0,21550.0,0,0,0,0,0,0.05,66.73,783,-2665,24375,
,0,0,0,0.0,2713.65,0,0,0,0,0,21600.0,0,0,0,0,0,0.05,65.54,10900,-85670,78195,
,0,0,0,0.0,2669.3,0,0,0,0,0,21650.0,0,0,0,0,0,0.05,64.35,1020,-3640,27300,
,650,0,10,0.0,2565.0,0,0,0,0,0,21700.0,0,0,0,0,0,0.05,63.17,5864,16770,159055,
,0,0,0,0.0,2581.2,0,0,0,0,0,21750.0,0,0,0,0,0,0.15,67.13,1723,9295,37245,
,0,0,0,0.0,2510.0,0,0,0,0,0,21800.0,0,0,0,0,0,0.05,60.79,8562,-66885,126880,
,0,0,0,95.73,2494.1,0,0,0,0,0,21850.0,0,0,0,0,0,0.05,59.61,734,12870,49400,
,390,0,0,0.0,2312.0,0,0,0,0,0,21900.0,0,0,0,0,0,0.05,58.43,8640,-137735,76180,
,0,0,0,111.12,2408.05,0,0,0,0,0,21950.0,0,0,0,0,0,0.05,57.25,1087,8190,43030,
,210990,-22945,2323,76.99,2339.5,0,0,0,0,0,22000.0,0,0,0,0,0,0.05,56.07,88083,-997880,1483690,
,0,0,0,119.51,2323.1,0,0,0,0,0,22050.0,0,0,0,0,0,0.05,54.89,4302,-22360,68640,
,0,0,0,122.66,2281.05,0,0,0,0,0,22100.0,0,0,0,0,0,0.05,53.71,10040,-137150,95550,
,130,0,0,0.0,2147.4,0,0,0,0,0,22150.0,0,0,0,0,0,0.05,52.53,21723,-42575,242970,
,260,0,3,0.0,1962.0,0,0,0,0,0,22200.0,0,0,0,0,0,0.05,51.36,14463,-157365,142090,
,65,0,0,0.0,1585.4,0,0,0,0,0,22250.0,0,0,0,0,0,0.05,50.19,3841,-12090,69875,
,780,-1040,140,0.0,2010.8,0,0,0,0,0,22300.0,0,0,0,0,0,0.05,49.01,19025,-316225,147550,
,130,0,0,0.0,1780.0,0,0,0,0,0,22350.0,0,0,0,0,0,0.05,47.84,6547,-11830,152035,
,2015,0,1,0.0,1795.15,0,0,0,0,0,22400.0,0,0,0,0,0,0.05,46.67,17038,-57655,149240,
,65,0,0,0.0,2199.25,0,0,0,0,0,22450.0,0,0,0,0,0,0.05,45.5,5754,-8710,80275,
,104325,-10400,1082,0.0,1833.05,0,0,0,0,0,22500.0,0,0,0,0,0,0.05,44.33,110202,-720980,1290315,
,1430,0,0,0.0,1719.0,0,0,0,0,0,22550.0,0,0,0,0,0,0.05,43.16,10330,-58695,111085,
,2275,0,7,0.0,1667.25,0,0,0,0,0,22600.0,0,0,0,0,0,0.05,41.99,21841,-118755,141440,
,2145,0,0,0.0,1637.05,0,0,0,0,0,22650.0,0,0,0,0,0,0.05,40.83,12557,7930,101465,
,3770,-325,121,0.0,1620.4,0,0,0,0,0,22700.0,0,0,0,0,0,0.05,39.66,37813,-123565,315640,
,455,0,0,0.0,1568.35,0,0,0,0,0,22750.0,0,0,0,0,0,0.05,38.49,10560,13715,138775,
,4225,-130,218,0.0,1516.75,0,0,0,0,0,22800.0,0,0,0,0,0,0.05,37.33,41181,-419250,407420,
,1885,0,0,0.0,1435.65,0,0,0,0,0,22850.0,0,0,0,0,0,0.05,36.16,16962,-49075,162305,
,3380,-130,10,0.0,1335.0,0,0,0,0,0,22900.0,0,0,0,0,0,0.05,34.99,142770,-507065,1250405,
,130,0,0,0.0,1350.0,0,0,0,0,0,22950.0,0,0,0,0,0,0.05,33.83,45044,-76505,311285,
,116090,-56810,2155,0.0,1337.35,0,0,0,0,0,23000.0,0,0,0,0,0,0.05,32.66,524218,-1562145,4781205,
,390,0,0,0.0,1088.05,0,0,0,0,0,23050.0,0,0,0,0,0,0.05,31.5,53311,145730,335140,
,15795,12480,271,0.0,1231.75,0,0,0,0,0,23100.0,0,0,0,0,0,0.05,30.33,132897,-204685,646945,
,585,0,11,0.0,1030.0,0,0,0,0,0,23150.0,0,0,0,0,0,0.05,29.16,108213,478465,931840,
,24310,9945,562,0.0,1132.65,0,0,0,0,0,23200.0,0,0,0,0,0,0.05,28.0,336363,-343200,1985490,
,15860,13780,256,0.0,1078.8,0,0,0,0,0,23250.0,0,0,0,0,0,0.05,26.83,167481,-164320,962065,
,29445,10335,339,0.0,1034.7,0,0,0,0,0,23300.0,0,0,0,0,0,0.05,25.66,845243,259935,2935010,
,14495,12220,218,31.44,988.65,0,0,0,0,0,23350.0,0,0,0,0,0,0.05,24.49,193394,-65910,686205,
,27365,3965,407,0.0,933.7,0,0,0,0,0,23400.0,0,0,0,0,0,0.05,23.32,603502,600925,3781765,
,22750,20085,367,0.0,879.85,0,0,0,0,0,23450.0,0,0,0,0,0,0.05,22.14,486503,480415,1446445,
,291460,-10985,15984,0.0,836.6,0,0,0,0,0,23500.0,0,0,0,0,0,0.05,20.97,1410086,511355,9374170,
,31460,18785,619,0.0,782.8,0,0,0,0,0,23550.0,0,0,0,0,0,0.05,19.79,466150,-307710,1212900,
,180180,-16380,1974,0.0,734.3,0,0,0,0,0,23600.0,0,0,0,0,0,0.05,18.61,1179849,-813735,2860585,
,40040,10400,1085,0.0,685.7,0,0,0,0,0,23650.0,0,0,0,0,0,0.05,17.43,1006439,1054885,2637115,
,212225,114010,18615,0.0,633.6,0,0,0,0,0,23700.0,0,0,0,0,0,0.05,16.25,1309290,-918775,4850365,
