CALLS,,,,,,,,,,,,,,,,,,,,,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,455,0,4,125.72,2891.5,0,0,0,0,0,21600.0,0,0,0,0,0,0.05,68.4,59006,-900120,1424085,
,0,0,0,154.55,2877.3,0,0,0,0,0,21650.0,0,0,0,0,0,0.05,67.22,2507,-15665,74620,
,0,0,0,152.73,2828.05,0,0,0,0,0,21700.0,0,0,0,0,0,0.05,66.03,5807,-70135,148135,
,0,0,0,150.96,2778.9,0,0,0,0,0,21750.0,0,0,0,0,0,0.05,64.85,1402,13715,73970,
,0,0,0,149.21,2729.8,0,0,0,0,0,21800.0,0,0,0,0,0,0.05,63.67,6347,6825,163995,
,0,0,0,147.47,2680.75,0,0,0,0,0,21850.0,0,0,0,0,0,0.05,62.49,624,-4615,32825,
,0,0,0,145.77,2631.8,0,0,0,0,0,21900.0,0,0,0,0,0,0.05,61.31,2127,2275,88205,
,0,0,0,144.08,2582.9,0,0,0,0,0,21950.0,0,0,0,0,0,0.05,60.13,949,6760,46865,
,4160,-520,34,0.0,2468.05,0,0,0,0,0,22000.0,0,0,0,0,0,0.05,58.96,20937,-278395,384280,
,0,0,0,140.83,2485.45,0,0,0,0,0,22050.0,0,0,0,0,0,0.1,60.72,1182,3120,40885,
,0,0,0,139.27,2436.9,0,0,0,0,0,22100.0,0,0,0,0,0,0.05,56.61,5828,-33150,111020,
,0,0,0,137.73,2388.45,0,0,0,0,0,22150.0,0,0,0,0,0,0.05,55.44,5373,6435,89570,
,0,0,0,136.24,2340.15,0,0,0,0,0,22200.0,0,0,0,0,0,0.05,54.26,6058,-43615,118755,
,0,0,0,134.79,2292.0,0,0,0,0,0,22250.0,0,0,0,0,0,0.05,53.09,1477,11765,35750,
,0,0,0,133.38,2244.0,0,0,0,0,0,22300.0,0,0,0,0,0,0.05,51.93,8849,-45045,134485,
,0,0,0,132.01,2196.15,0,0,0,0,0,22350.0,0,0,0,0,0,0.05,50.76,2073,-13195,39910,
,0,0,0,130.69,2148.5,0,0,0,0,0,22400.0,0,0,0,0,0,0.05,49.59,7477,-121420,118755,
,0,0,0,129.39,2101.0,0,0,0,0,0,22450.0,0,0,0,0,0,0.05,48.43,2006,-18915,45890,
,1885,-195,13,74.63,1980.0,0,0,0,0,0,22500.0,0,0,0,0,0,0.05,47.26,28316,-459485,548990,
,0,0,0,126.98,2006.75,0,0,0,0,0,22550.0,0,0,0,0,0,0.05,46.1,5175,-13390,72865,
,0,0,0,125.83,1959.95,0,0,0,0,0,22600.0,0,0,0,0,0,0.05,44.94,11511,-112320,195650,
,0,0,0,124.72,1913.4,0,0,0,0,0,22650.0,0,0,0,0,0,0.05,43.77,5148,52650,146900,
,0,0,0,123.67,1867.15,0,0,0,0,0,22700.0,0,0,0,0,0,0.05,42.61,16972,28990,455195,
,0,0,0,122.65,1821.15,0,0,0,0,0,22750.0,0,0,0,0,0,0.05,41.45,8060,-29965,113490,
,3640,0,4,64.29,1680.0,0,0,0,0,0,22800.0,0,0,0,0,0,0.05,40.29,17158,-137540,360945,
,0,0,0,120.75,1730.1,0,0,0,0,0,22850.0,0,0,0,0,0,0.05,39.13,7012,25675,92560,
,195,0,0,135.36,1731.65,0,0,0,0,0,22900.0,0,0,0,0,0,0.05,37.97,15252,-75660,238875,
,0,0,0,119.01,1640.4,0,0,0,0,0,22950.0,0,0,0,0,0,0.05,36.81,21213,66885,178880,
